Filename,AoA,CST Coeff 1,CST Coeff 2,CST Coeff 3,CST Coeff 4,CST Coeff 5,CST Coeff 6,CST Coeff 7,CST Coeff 8,Cl,Cd
GOE 561 AIRFOIL,0,-1.1670202e-01,-1.9022243e-03,-7.7037648e-02,-1.0169760e-01,5.0600804e-01,7.4887791e-01,3.9106012e-01,5.8884861e-01,0.53716222,0.033335782
GOE 562 AIRFOIL,0,-6.3372198e-02,1.0494858e-02,-9.6420882e-03,-6.6900335e-02,2.3927870e-01,5.0768274e-01,1.5835193e-01,4.1416661e-01,0.40196624,0.040085775
GOE 563 AIRFOIL,0,-1.0861681e-01,-3.6045837e-02,-5.0269712e-02,-3.1352839e-02,1.6048422e-01,1.6383904e-01,1.9311664e-01,1.8429753e-01,0.18040213,0.029846504
GOE 564 AIRFOIL,0,-1.0531837e-01,1.1494613e-02,-5.6694289e-02,-8.2131051e-03,1.6044285e-01,1.7934995e-01,1.7512040e-01,2.2684437e-01,0.28853446,0.016148458
GOE 565 AIRFOIL,0,-9.6407230e-02,-2.2697863e-02,-4.6353488e-03,1.1591797e-03,1.6025788e-01,1.8232929e-01,1.8094715e-01,2.0711899e-01,0.30774885,0.016057485
GOE 566 AIRFOIL,0,-9.0849756e-02,1.0689117e-03,-8.5181191e-02,-5.8639413e-03,1.7169069e-01,1.7994110e-01,1.9836310e-01,1.6417880e-01,0.2613585,0.015971097
GOE 567 AIRFOIL,0,-1.5604862e-01,-7.5804299e-02,4.9999506e-02,8.5905099e-02,2.2780286e-01,3.7913654e-01,2.8641923e-01,3.0229056e-01,0.55084337,0.0202623189999999
GOE 570 AIRFOIL,0,-2.2726498e-01,-1.9910904e-01,-1.0612841e-01,-2.1798707e-01,5.4809397e-01,8.3465701e-01,5.8866052e-01,7.3794755e-01,-0.061705023,0.056355296
GOE 432 AIRFOIL,0,-5.2331640e-02,5.0869677e-02,4.5140096e-02,2.0267751e-02,2.0649175e-01,2.2918184e-01,1.6158931e-01,2.4968911e-01,0.43501095,0.016726458
GOE 433 AIRFOIL,0,-2.2036066e-01,-1.0386851e-01,-9.8048918e-03,1.0901375e-01,2.9365457e-01,3.7563351e-01,3.1036803e-01,2.9116842e-01,0.52877201,0.021524452
GOE 434 AIRFOIL,0,-2.8663174e-01,-1.8836136e-01,-4.4986042e-02,9.6444154e-02,4.1318450e-01,3.9941343e-01,4.1183077e-01,3.3421431e-01,0.50783591,0.0255310789999999
GOE 435 AIRFOIL,0,-3.1751556e-01,-2.6865246e-01,-7.5751436e-02,7.1009077e-02,4.2734773e-01,4.7597867e-01,3.9515175e-01,3.5306766e-01,0.43222131,0.027370138
GOE 436 AIRFOIL,0,-1.1608780e-01,1.4232398e-02,-6.2843675e-02,-8.3134459e-03,2.1688447e-01,2.7835071e-01,1.9868922e-01,2.4305363e-01,0.35994274,0.017541983
GOE 437 AIRFOIL,0,-5.0044989e-02,9.0767065e-02,3.0507215e-02,6.0239234e-02,1.6208882e-01,2.7373986e-01,1.6621729e-01,2.3715319e-01,0.47731369,0.016602167
GOE 438 AIRFOIL,0,-1.1450909e-01,1.2813535e-02,-6.2471795e-02,-8.3940397e-03,2.1985709e-01,2.7614172e-01,1.9857247e-01,2.4122311e-01,0.35938396,0.017532511
GOE 439 AIRFOIL,0,-5.1590962e-02,8.7624721e-02,3.8013147e-02,5.9343416e-02,1.8112027e-01,2.9748599e-01,1.9045153e-01,2.3965207e-01,0.50725383,0.017167094
GOE 441 AIRFOIL,0,-1.5974115e-01,4.5423959e-02,5.9007582e-02,2.2142310e-01,3.0907987e-01,5.0595790e-01,3.0797078e-01,4.2737257e-01,0.83919859,0.024896394
GOE 442 AIRFOIL,0,-5.2626494e-02,5.1333231e-02,4.4561246e-02,2.0754764e-02,2.0819278e-01,2.2370759e-01,1.6816929e-01,2.4253355e-01,0.41701877,0.020000406
GOE 443 AIRFOIL,0,-5.0778931e-02,-7.4571236e-02,-6.4688888e-02,-6.3184995e-02,5.0778931e-02,7.4571236e-02,6.4688889e-02,6.3184995e-02,-0.00048744595,0.049037538
GOE 444 AIRFOIL,0,-5.6171188e-02,-9.2995096e-02,-6.1361109e-02,-9.1700441e-02,5.6171193e-02,9.2995096e-02,6.1361109e-02,9.1700440e-02,-1.4027737e-05,0.0142261089999999
GOE 445 AIRFOIL,0,-6.8100301e-02,-1.0424853e-01,-6.3777366e-02,-9.5330822e-02,6.8100261e-02,1.0424847e-01,6.3777445e-02,9.5330771e-02,-0.00015216625,0.026417795
GOE 446 AIRFOIL,0,-1.3531350e-01,8.0878094e-02,-1.2505101e-02,3.2568088e-02,2.3487425e-01,3.9313768e-01,3.1362747e-01,3.9862501e-01,0.41905594,0.052090248
GOE 447 AIRFOIL,0,-1.1547050e-01,1.3606450e-01,4.3267235e-02,3.8350785e-02,2.5479028e-01,4.3811830e-01,3.6776926e-01,4.2092455e-01,0.43844262,0.071550432
GOE 448 AIRFOIL,0,-9.7069228e-02,2.3121600e-01,8.6792156e-02,1.4381419e-01,2.9755046e-01,5.0896341e-01,4.5647274e-01,4.8590753e-01,0.95712208,0.029494922
GOE 449 AIRFOIL,0,-1.6175606e-01,-1.8529902e-02,-1.1788042e-01,-2.6307170e-02,2.9860926e-01,3.8389239e-01,3.8437262e-01,3.6993121e-01,0.45814952,0.021958454
GOE 450 AIRFOIL,0,-6.7752371e-02,7.7569382e-02,1.8613325e-02,3.6305569e-02,1.8065904e-01,2.9314845e-01,2.3334327e-01,3.0006308e-01,0.51565835,0.018055171
GOE 451 AIRFOIL modified line 6,0,-6.2677782e-03,1.5299257e-01,6.3945406e-02,1.1341492e-01,1.1624272e-01,2.7191439e-01,1.6704006e-01,2.4098099e-01,0.31675312,0.082187846
GOE 456 AIRFOIL,0,-5.4203071e-02,7.4529910e-02,7.0481280e-02,6.2901360e-02,1.5574641e-01,2.6742415e-01,2.2108062e-01,2.5241578e-01,0.48013172,0.02433636
GOE 457 AIRFOIL,0,-6.2863262e-02,5.7548722e-02,2.2852197e-02,3.8904077e-02,1.9929761e-01,2.3679005e-01,1.5128063e-01,2.6189313e-01,0.26912498,0.057251801
GOE 458 AIRFOIL,0,-5.4195249e-02,7.4476365e-02,7.0558328e-02,6.2889784e-02,1.5574541e-01,2.6742903e-01,2.2106421e-01,2.5244240e-01,0.47855381,0.024565915
GOE 459 AIRFOIL,0,-1.7089957e-01,-1.6579885e-01,-1.5999896e-01,-1.6287424e-01,1.7089957e-01,1.6579885e-01,1.5999896e-01,1.6287424e-01,0.00031537777,0.05413982
GOE 460 AIRFOIL,0,-2.6346019e-01,-2.8002319e-01,-2.4738886e-01,-2.4915893e-01,2.6346019e-01,2.8002319e-01,2.4738886e-01,2.4915893e-01,-0.00041867192,0.027456397
